productId,name,productCode,description,sellingPrice,costPrice
1,Samsung TV,TV01,Samsung smart TV with curve display,300.0,250.0
2,Hitachi AC,AC01,AC with full comfort,120.0,100.0
3,TLC Microwave,MW01,Microwave with latest technology,250.0,200.0
4,Samsung S22,SS022,modern age technology with 100x zoom camera,1200.0,1000.0
5,Apple Watch,AW01,Make yourself fit with apple watch,800.0,700.0
6,Apple MAcBook Pro,MBP01,most effective product on earth to boost your productivity,1700.0,1500.0
7,Dell ThinkPad,DT01,convenient option for office work,600.0,500.0
8,Philips Trimmer,PT01,trim your beard with latest trimmer,50.0,25.0
9,Philips Straightener,PS02,Style is here,80.0,65.0
10,Fitbit Series 3,FS01,Make yourself fit with fitbit,400.0,300.0